region,2016.01,2016.02,2016.03,2016.04,2016.05,2016.06,2016.07,2016.08,2016.09,2016.1,2016.11,2016.12,2017.01,2017.02,2017.03,2017.04,2017.05,2017.06,2017.07,2017.08,2017.09,2017.1,2017.11,2017.12,2018.01,2018.02,2018.03,2018.04,2018.05,2018.06,2018.07,2018.08,2018.09,2018.1,2018.11,2018.12,2019.01,2019.02,2019.03,2019.04,2019.05,2019.06,2019.07,2019.08,2019.09,2019.1,2019.11,2019.12,2020.01,2020.02,2020.03,2020.04,2020.05,2020.06,2020.07,2020.08,2020.09,2020.1,2020.11,2020.12,2021.01,2021.02,2021.03,2021.04,2021.05,2021.06,2021.07,2021.08,2021.09,2021.1,2021.11,2021.12,2022.01,2022.02,2022.03
Total,51541582,51555409,51569536,51584349,51601265,51619330,51634618,51649552,51664244,51677054,51687682,51696216,51704332,51712221,51714935,51722903,51732586,51736224,51744948,51753820,51762492,51769092,51774649,51778544,51779148,51779892,51784669,51790131,51796179,51801449,51806977,51812153,51817851,51821881,51824477,51826059,51826287,51829538,51833175,51836763,51840339,51842636,51845612,51847538,51849253,51850705,51851427,51849861,51847509,51844627,51843195,51842524,51841371,51839408,51839852,51839953,51841786,51838016,51834302,51829023,51825932,51824142,51705905,51702100,51683025,51672400,51671569,51669716,51667688,51662290,51652704,51638809,51632473,51625561,51610695
Seoul,10018537,10014261,10009588,10002979,9995784,9989795,9981673,9971111,9964291,9954791,9943333,9930616,9930478,9931412,9926968,9922745,9919016,9914381,9908612,9902072,9891448,9882810,9870167,9857426,9851767,9845336,9838892,9830452,9820971,9814049,9806538,9799075,9793003,9784112,9774088,9765623,9766288,9770638,9770216,9766886,9762062,9757144,9751415,9744888,9740398,9736289,9732577,9729107,9733509,9736962,9733655,9726787,9724496,9720846,9715429,9708247,9699232,9689159,9679771,9668465,9657969,9648606,9598484,9588711,9575355,9565990,9558153,9550227,9542256,9532428,9520880,9509458,9505926,9508451,9506778
Busan,3513361,3513192,3512444,3511974,3510833,3509462,3508095,3507205,3505821,3503789,3501671,3498529,3496779,3495478,3493041,3491282,3489212,3486570,3484836,3484183,3482804,3478109,3474534,3470653,3467055,3465407,3463103,3460707,3458134,3455611,3453198,3451049,3449593,3446856,3444540,3441453,3438259,3436230,3434091,3431750,3429595,3427632,3425317,3423209,3421502,3418871,3416721,3413841,3411819,3410925,3409932,3408347,3406942,3404423,3402776,3401072,3399749,3397598,3395514,3391946,3389388,3387761,3372399,3369704,3367334,3364358,3361781,3359527,3358763,3356311,3353627,3350380,3348874,3347396,3343504
Daegu,2487823,2486589,2486059,2485663,2485134,2484864,2484856,2485537,2485692,2485484,2485535,2484557,2484688,2484578,2483488,2483105,2482476,2481985,2481489,2479887,2478236,2477186,2476557,2475231,2474309,2473466,2472175,2471136,2469936,2469617,2468824,2467385,2466454,2465145,2464002,2461769,2460382,2458138,2455829,2454154,2452291,2450478,2448666,2446745,2445270,2443528,2441581,2438031,2436488,2432883,2433568,2431523,2429059,2427954,2428022,2428228,2426849,2424171,2421859,2418346,2415813,2413191,2408875,2406296,2402940,2397646,2395749,2393626,2392787,2390721,2388230,2385412,2383858,2381095,2380494
Incheon,2927195,2928596,2929817,2932141,2933959,2935314,2937217,2938902,2940436,2941793,2942613,2943069,2944009,2944266,2944630,2945305,2946270,2946915,2947803,2948014,2947298,2948098,2948241,2948542,2950771,2951629,2951442,2952476,2953255,2953883,2953841,2953206,2953116,2953333,2953844,2954642,2955916,2956063,2956513,2956700,2957179,2957024,2956828,2956525,2956804,2956984,2957249,2957026,2956119,2954955,2952689,2950972,2950063,2947217,2945565,2943491,2942553,2942233,2942307,2942828,2942452,2941705,2936461,2936214,2936382,2936367,2937440,2938429,2941795,2945009,2946319,2948375,2949150,2950978,2952699
Gwangju,1472802,1472153,1471618,1471819,1472317,1472285,1472481,1472432,1472379,1471911,1471384,1469214,1469583,1468527,1467766,1467002,1466741,1466451,1466415,1466642,1466639,1466716,1466328,1463770,1464037,1463100,1462033,1460972,1460564,1460745,1461203,1461463,1461790,1461904,1461009,1459336,1459832,1459208,1458930,1458940,1459003,1459024,1459486,1459438,1459632,1459360,1458915,1456468,1456688,1456121,1455705,1456096,1455533,1455048,1454709,1454154,1453952,1452994,1451993,1450062,1449115,1447953,1445473,1444787,1443154,1442647,1442482,1441970,1442827,1442454,1442138,1441611,1441636,1440032,1438463
Daejeon,1518024,1517716,1517118,1516904,1516494,1516208,1516291,1516165,1516241,1515787,1515394,1514370,1514354,1513877,1512189,1511396,1509587,1508137,1507597,1507116,1506741,1505829,1504307,1502227,1501378,1499187,1497572,1496123,1495234,1494878,1495029,1494286,1493654,1492589,1491716,1489936,1488725,1487605,1486647,1485509,1484398,1482938,1481701,1480520,1479641,1478436,1476955,1474870,1474152,1473125,1471858,1471650,1471915,1471040,1470225,1469431,1469099,1467556,1465893,1463882,1463291,1462064,1458463,1457619,1457161,1456107,1455300,1454679,1455058,1454228,1453675,1452251,1451272,1450862,1450057
Ulsan,1173568,1173143,1172959,1172925,1173147,1173143,1173066,1173005,1172965,1173178,1172891,1172304,1171656,1169957,1168843,1168501,1167960,1167525,1166942,1165909,1165385,1165528,1165317,1165132,1164489,1163151,1162074,1161303,1160657,1159594,1158847,1157964,1157420,1156917,1156260,1155623,1154786,1153735,1152800,1152293,1151685,1151301,1150891,1150294,1149873,1149409,1148922,1148019,1147037,1145710,1144563,1144098,1143148,1142190,1141362,1140310,1139368,1138581,1137345,1136017,1135370,1132953,1129254,1128163,1127175,1126369,1125727,1124459,1123236,1122566,1122495,1121592,1121100,1119446,1118010
Sejong,215418,220108,223461,225488,227972,230327,232117,234510,236134,238533,240560,243048,244939,247600,251178,254112,259157,263056,266075,269102,271410,274092,276879,280100,283198,288079,291182,295041,297604,300332,302703,305648,308068,310403,312103,314126,316814,320326,322693,324417,325777,327643,330298,332098,333757,336356,338647,340575,342328,343788,344792,345216,345373,345341,346217,347232,348014,351007,353430,355831,357871,359569,360462,361396,362036,362995,364364,365309,366560,368276,369465,371895,374377,376399,377296
